"No.","Time","Source","Destination","Protocol","Length","Info","cluster","illuminance","colory"
"256","99.676766","","","IEEE 802.15.4","65","Ack","","",""
"257","99.686360","0x1212","0x0000","ZigBee HA","112","ZCL: Configure Reporting Response, Seq: 10","On/Off","",""
"258","99.688407","","","IEEE 802.15.4","65","Ack","","",""
"259","99.690413","0x1212","0x0000","ZigBee","105","APS: Ack, Dst Endpt: 1, Src Endpt: 1","Level Control","",""
"260","99.692238","","","IEEE 802.15.4","65","Ack","","",""
"261","99.706409","0x1212","0x0000","ZigBee HA","112","ZCL: Configure Reporting Response, Seq: 11","Level Control","",""
"262","99.708456","","","IEEE 802.15.4","65","Ack","","",""
"263","99.722877","0x0000","0x1212","ZigBee HA","137","ZCL: Configure Reporting, Seq: 12","Color Control","",""
"264","99.725706","","","IEEE 802.15.4","65","Ack","","",""
"265","99.732381","0x1212","0x0000","ZigBee","105","APS: Ack, Dst Endpt: 1, Src Endpt: 1","Color Control","",""
"266","99.734206","","","IEEE 802.15.4","65","Ack","","",""
"267","99.745877","0x1212","0x0000","ZigBee HA","120","ZCL: Configure Reporting Response, Seq: 12","Color Control","",""
"268","99.748180","","","IEEE 802.15.4","65","Ack","","",""
"269","99.778733","0x0000","0x1212","ZigBee HA","127","ZCL: Configure Reporting, Seq: 13","Color Control","",""
"270","99.781243","","","IEEE 802.15.4","65","Ack","","",""
"271","99.788516","0x1212","0x0000","ZigBee","105","APS: Ack, Dst Endpt: 1, Src Endpt: 1","Color Control","",""
"272","99.790336","","","IEEE 802.15.4","65","Ack","","",""
"273","99.801867","0x1212","0x0000","ZigBee HA","116","ZCL: Configure Reporting Response, Seq: 13","Color Control","",""
"274","99.804043","","","IEEE 802.15.4","65","Ack","","",""
"275","99.835404","0x0000","0x1212","ZigBee HA","110","ZCL Identify: Trigger Effect, Seq: 14","Identify","",""
